id_emp,latitude,longitude,type
2708475,-20.2806,-50.2471,FINAL
2708547,-23.7951,-45.4143,FINAL
2708630,-23.0035,-46.8464,FINAL
2708701,-23.4439,-46.9178,PTO_IBAMA
2708750,-23.1896,-45.8841,FINAL
2709118,-24.0809,-46.6265,FINAL
2709286,-23.9888,-46.258,FINAL
2710160,-22.1207,-51.3925,FINAL
2710376,-23.5329,-46.6395,FINAL
2710531,-23.6677,-46.4613,FINAL
2710951,-23.5329,-46.6395,FINAL
2711048,-23.6914,-46.5646,PTO_IBAMA
2711223,-23.9888,-46.258,FINAL
2711266,-23.9888,-46.258,FINAL
2711304,-22.8204,-47.2728,FINAL
2711477,-23.5329,-46.6395,FINAL
2711548,-23.1852,-46.8974,FINAL
2711554,-23.1896,-45.8841,FINAL
2711558,-23.5329,-46.6395,FINAL
2711868,-22.2171,-49.9501,FINAL
2712122,-23.5057,-46.879,FINAL
2712273,-23.5324,-46.7916,FINAL
2712353,-22.7338,-47.6476,FINAL
2712538,-23.355,-46.8781,FINAL
2712716,-22.9129,-43.2003,PTO_IBAMA
2713344,-21.2076,-50.4401,FINAL
2714003,-23.5329,-46.6395,FINAL
2714674,-23.5329,-46.6395,FINAL
2714700,-23.5288,-45.8465,FINAL
2714883,-23.9888,-46.258,FINAL
2715026,-23.8486,-46.1396,FINAL
2715072,-20.0296,-49.4,FINAL
2715370,-23.9888,-46.258,FINAL
2715833,-23.5329,-46.6395,FINAL
2716575,-23.8486,-46.1396,FINAL
2716656,-23.5329,-46.6395,FINAL
2716752,-20.9491,-48.4791,FINAL
2716805,-23.5329,-46.6395,FINAL
2716833,-23.5329,-46.6395,FINAL
2717127,-23.5329,-46.6395,FINAL
2717152,-23.5208,-46.1854,FINAL
2717202,-24.0084,-46.4121,FINAL
2717212,-23.1896,-45.8841,FINAL
2717282,-22.2171,-49.9501,FINAL
2717320,-22.3675,-46.9428,FINAL
2717508,-23.5324,-46.7916,FINAL
2717580,-23.4439,-46.9178,FINAL
2717906,-23.4969,-47.4451,FINAL
2717955,-23.3965,-46.32,PTO_IBAMA
2718029,-23.1896,-45.8841,FINAL
2718329,-22.9527,-46.5419,PTO_IBAMA
2718331,-23.6022,-46.919,FINAL
